source_pdf,page_number,county,table_type,row_index,n,town,date_org,date_appr,n_new,rmk
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,1,4+19+16,Franklin,23 May 1930,"to take effect Sept. 1, 1930",,C.O.S. 16 Franklin + Meredith. See preceding page
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,2,24+1,Franklin C.O.S.,9 July 1930,"to take effect Oct 10, 1930",,C.O.S. 16 Franklin + others. See preceding page
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,3,"2,3,4,5,8,9,12,13,15,17",Roxbury,Laid out 12 June 1930 Meeting held 26 June 1930 Designation of district as 11 July 1930,,,2 Roxbury
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,4,"6,7,10,14,15,18,20+23",Hancock,C.O.S. Laid out 3 Ja. 1931. Meeting held 30 Ja. 1931 Designation 4 Mr. 1931,,,6 Hancock + Thompson
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,5,26,Hancock + Thompson,,,,
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,6,18,Thompson,,,,
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,7,19,Hancock,,,,
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,8,17,Jomphins,24 July 1931,to take effect 24 Oct. 1931,,C.O.S. 6 Hancock
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,9,6,Hancock,,,,
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,10,6+19,Hancock + Depois,18 Ag 1931,18 Nov 1931,,C.O.S. 6 Hancock
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,11,6,Hancock,2 July 1932,5 Dec 1932,,C.O.S. 6 Hancock
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,12,11+19,Colchester,26 July 1933,27 Dec 1933,,19 Colchester
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,13,U.S.S. 2,Andes,Laid out 5 Oct. 1933. Meeting held 26 Oct. 1933. Designation of dist. 13 Nov. 1933,,,"C.R.S. 2 Andes, Delhi + Bovina"
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,14,"C.S. 4,5,7,9,14,15,17,18,19,20,21,23",Andes + Delhi,,,,
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,15,7+8,Bovina + Andes,,,,
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,16,C.R.S. 1,"Stanford, Harperfield, Jefferson, Gilboa",Laid out 3 Oct. 1935 Meeting held 1 Nov. 1935 Designation of dist. 4 Dec. 1935,,,"C.R.S. 1 Stanford, Harperfield, Rothright, Delhi, Roxbury, Jefferson + Gilboa, Schoharie"
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,17,10+17,Harperfield + Jefferson,,,,
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,18,20+8,Harperfield + Jefferson,,,,
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,19,14,Harperfield + Rothright,,,,
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,20,8,Harperfield + Stanford,,,,
District-Consolidation-Data_100-116.pdf,43,Delaware,central_rural_schools,21,7,Jefferson,,,,
