```
102

A. B. Disk Company                      $ 39.06
Laidlaw Brothers                        7.44
Carl Fischer, Inc.                      2.40
Koffler & Easer Company                 6.55
Mildred L. Bobbcock                     28.00
Oil Specialties & Refining Co.          45.00
Alex Smith                              2.00
Frank Holton & Company                  3.46
Remington Rand, Inc.                    3.00
R. A. Fire Corporation                  41.45
Clifford Baxter                         14.29
John E. Styles                          4.65
The Wood Rumber Company                 76.46
The Associated School Boards & Trustees of the State of N.Y. 50.00
Kotesham & Colyer, Inc.                 163.33
Silver, Burdett & Company               3.70
Clement Pharmacy                        13.86
Charles Sharp                           60.00
R. & E. Dental Supply Co., Inc.         24.95
Unqua Laundries, Inc.                   9.19
Alex Taylor & Company                   1.56
Ideal Auto Supply Company               28.00
Athletic Equipment Co., Inc.            41.17
Amityville Battery & Ignition Service   8.85
Henry W. Leigh                          400.00
A. W. Corson                            4.00
George E. Hole, Inc.                    11.40

There being no further business the meeting thereupon adjourned.

C. R. Warren,                          [signature]
clerk
