```
Mr. Case moved and Mrs. Hartman seconded the motion that contract be awarded to Howard Hogan at a net salary of $1,900.00, provided it is understood that only one member of the family be engaged. This motion unanimously carried.

Mr. Whitmore moved and Mr. Axtell seconded the motion that provided Mr. Hogan declines to accept the new contract that Mr. Ruff be empowered to offer a contract to Mrs. Hogan at a salary of $1,507.50 per year. This motion unanimously carried.

Mr. Ruff reported that he had under consideration the operation of the Kindergarten Department with but one teacher thereby relieving Miss Granant for duty in the first grade which would obviate the necessity of engaging a teacher in place of Miss Sharp, saving the District about $1,400.00.

Mr. Axtell moved and Mr. Whitmore seconded the motion that the Building and Grounds Committee be empowered to proceed with the building of two tennis courts provided that the labor be supplied through the Unemployed Welfare Relief Committee. This motion unanimously carried.

The following bills were read by the Clerk and ordered referred to the Finance Committee for approval and payment if found correct:

Waldau's Print Shop                      $ 50.00
H. A. Farnell & Co., Inc.                2.05
Tales School Products, Inc.             11.45
Frances J. Baylis                           5.73
D. C. Heath & Co.                        18.98
Prentice-Hall, Inc.                       3.74
Remington-Rand, Inc.                      3.85
School Service Company                   12.11
Allyn & Bacon                              6.53
World Book Company                         3.94
A. B. Dick Company                      18.63
Mildred L. Babcock                      12.85
Long Island Lighting Company           239.54
Philip Janery                             12.00
West Disinfecting Company                  6.00
N. Y. Telephone Co.                     47.45
Robert Ewood                              20.00
George Harvey                              9.00
Western Union Telegraph Co.               4.50
W. Powell & Sons                         11.32
Alex Smith                                 2.00
```
