```
The following bills were read by the Clerk and ordered referred to the Finance Committee for approval and payment if found correct:

The Amityville Record                      $ 5.04
Murial Wood                                16.00
Walden's Print Shop                         9.00
Carl Fischer, Inc.                         16.00
W. Powell & Sons, Inc.                    10.00
Arthur W. Ruff                              1.75
The T. V. Allen Company                   83.52
Francis V. Allen Company                 119.00
Amity Printing House                      94.34
W. B. Powell & Son                         9.00
Ella W. Bull                              14.78
Mildred L. Babcock                        21.31
Long Island Lighting Co.                197.44
The Western Union Tel. Co.                 4.50
Daniel Reeves, Inc.                         6.00
E. S. Van Nostrand                        .90
Alex Smith                                 2.00
New York Telephone Co.                   32.70
The Standard Electric Co.                 3.08
Splendid Cleaners & Dyers                 8.54
William Lieblang                            3.00
Royal Typewriter Co.                      5.00
Wood Lumber Company                      27.79
Underwood Elliott Fisher Co.              4.53
John E. Styles                            12.85
F. J. Nienburg & Son                     21.46
Harper's Magazine                          .40
Thomas Colby                               3.18
Unqua Laundry, Inc.                      16.01
D. W. Field                                1.80
Alex. Taylor & Co., Inc.                   .59
A. W. Corsom                               3.00
Henry W. Leigh                           425.00
Charles H. Ashdown, Inc.                   .50

There being no further business, Mr. Ketcham moved and Mr. Artell seconded the motion that the Board adjourn. This motion carried.

The President declared the meeting adjourned.

[illegible]                          Clerk.
```
