Below is the transcription of the tabular data from the document, preserving the structure and formatting as requested:

```
| No. of dist. | NAME OF TOWN | DATE OF SCHOOL-MAKING OR REORGANIZING DISTRICT | DATE ON WHICH PAPERS WERE APPROVED AT DEPARTMENT | REMARKS |
|--------------|--------------|------------------------------------------------|--------------------------------------------------|---------|
| 4 + 1916     | J Franklin   | 23 May 1930                                    | Cont. to take effect Sept. 1, 1930               | No of new dist. C.R.S. 16 Franklin, Meridith, La. Precincts. |
| 24 + 1916    | Popbury      | 9 July 1930                                    | to take effect Oct. 1, 1930                      | C.R.S. 16 Franklin, Meridith, La. Precincts. |
| 23 + 1916    | Popbury      | 12 June 1930                                   | Meeting held 22 June 1930                        | Designation of district as 11 July 1930. |
| 19 + 1916    | Popbury      | 12 June 1930                                   | Meeting held 22 June 1930                        | Designation of district as 11 July 1930. |
| 6,7,14,15,18 | Hancock      | 20 July 1931                                   | C.R.S. 16 Hancock, Thompson                      | 2 Popbury. |
| 18           | Tomphina     | 24 July 1931                                   | to take effect 24 Oct. 1931                      | Designation + Dec. 1931. |
| 19           | Hancock      | 15 Aug 1931                                    | 15 Nov. 1931                                    | C.R.S. 6 Hancock. |
| 6 + 1917     | Hancock      | 2 July 1932                                    | 5 Dec. 1932                                     | C.R.S. 6 Hancock. |
| 11 + 1919    | Colchester   | 26 July 1933                                   | 27 Oct. 1933                                    | 19 Colchester. |
|              |              |                                                |                                                 | U.S. dist. Andro. C.R.S. 2 Andro. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 1 Stanford, Harmpfield, Harmpfield, Gilbora, Rodright. |
|              |              |                                                |                                                 | C.R.S. 1 Stanford, Harmpfield, Harmpfield, Gilbora, Rodright. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S. 16 Delhi. 12,14,17 Delhi. Delhi & Bonna. |
|              |              |                                                |                                                 | C.R.S.
